B_product_id,B_string_raw,B_string,string_similarity,Best_A_strings_raw,Best_A_strings,Best_A_Brand,Best_A_Type,Best_A_Formula
16736,nitroku 16 16 16,nitroku161616,1,Nitroku 16-16-16,nitroku161616,PIHC,Majemuk,16-16-16
17450,ZK Petro,zkpetro,1,ZK Petro,zkpetro,PIHC,ZK,NA
17941,Petro Nitrat 16-16+16,petronitrat161616,1,Petro Nitrat 16-16-16,petronitrat161616,PIHC,Majemuk,16-16-16
18531,MerokeZA,merokeza,1,MerokeZA,merokeza,Mutiara,ZA,NA
18653,Pelangi 161616,pelangi161616,1,Pelangi 16-16-16,pelangi161616,PIHC,Majemuk,16-16-16
18684,npk kujang 3068,npkkujang3068,1,NPK Kujang 30-6-8,npkkujang3068,PIHC,Majemuk,30-6-8
19141,Mutiara. 16 16 16,mutiara161616,1,Mutiara 16-16-16,mutiara161616,Mutiara,Majemuk,16-16-16
19446,mutiara.16.16.16,mutiara161616,1,Mutiara 16-16-16,mutiara161616,Mutiara,Majemuk,16-16-16
19508,Mutiara16-16-16,mutiara161616,1,Mutiara 16-16-16,mutiara161616,Mutiara,Majemuk,16-16-16
19884,fertiphos,fertiphos,1,Fertiphos,fertiphos,Pak Tani,Fosfat,NA
19989,phosgro,phosgro,1,Phosgro,phosgro,Pak Tani,Fosfat,NA
20233,UreaPusri,ureapusri,1,Urea Pusri,ureapusri,PIHC,Urea,NA
20429,NPK PUSRI 15-15-15,npkpusri151515,1,NPK Pusri 15-15-15,npkpusri151515,PIHC,Majemuk,15-15-15
20820,Kapur pertanian kebomas,kapurpertaniankebomas,1,Kapur Pertanian Kebomas,kapurpertaniankebomas,PIHC,Mikro,NA
21261,Mutiara 16 16 16,mutiara161616,1,Mutiara 16-16-16,mutiara161616,Mutiara,Majemuk,16-16-16
21326,Mesti-ZA,mestiza,1,Mesti-ZA,mestiza,LaoYing,ZA,NA
21931,yara mila unik 161616,yaramilaunik161616,1,YaraMila UNIK 16-16-16,yaramilaunik161616,Yara,Majemuk,16-16-16
21938,mutiara 16 -16-16,mutiara161616,1,Mutiara 16-16-16,mutiara161616,Mutiara,Majemuk,16-16-16
21956,sp 36 petro,sp36petro,1,SP-36 Petro,sp36petro,PIHC,Fosfat,NA
24272,Borat,borat,1,Borat,borat,Mahkota,Mikro,NA
24564,urea Pusri,ureapusri,1,Urea Pusri,ureapusri,PIHC,Urea,NA
25031,Sp26petro,sp26petro,1,SP-26 Petro,sp26petro,PIHC,Fosfat,NA
25146,NPK Pelangi 13.6.27.4,npkpelangi136274,1,NPK Pelangi 13-6-27-4,npkpelangi136274,PIHC,Majemuk,13-6-27
25201,Petro Biofertil,petrobiofertil,1,Petro BioFertil,petrobiofertil,PIHC,Organik,NA
26960,Mesti Za,mestiza,1,Mesti-ZA,mestiza,LaoYing,ZA,NA
27773,pelangi 16 16 16,pelangi161616,1,Pelangi 16-16-16,pelangi161616,PIHC,Majemuk,16-16-16
27839,Za Plus PETRO,zapluspetro,1,ZA Plus Petro,zapluspetro,PIHC,ZA,NA
27941,Kapur Pertanian Kebomas,kapurpertaniankebomas,1,Kapur Pertanian Kebomas,kapurpertaniankebomas,PIHC,Mikro,NA
27959,MEROKE ZA,merokeza,1,MerokeZA,merokeza,Mutiara,ZA,NA
28612,npk pusri 161616,npkpusri161616,1,NPK Pusri 16-16-16,npkpusri161616,PIHC,Majemuk,16-16-16
28636,Phosgreen,phosgreen,1,Phosgreen,phosgreen,PIHC,Fosfat,NA
29325,Petro Cas,petrocas,1,Petro-CAS,petrocas,PIHC,Mikro,NA
29335,NPK Pusri 15 15 15,npkpusri151515,1,NPK Pusri 15-15-15,npkpusri151515,PIHC,Majemuk,15-15-15
29715,ZA. PETRO,zapetro,1,ZA Petro,zapetro,PIHC,ZA,NA
30123,Urea/Nitrea,ureanitrea,1,Urea Nitrea,ureanitrea,PIHC,Urea,NA
30545,NPK PUSRI  15-15-15,npkpusri151515,1,NPK Pusri 15-15-15,npkpusri151515,PIHC,Majemuk,15-15-15
30601,SP -26 Petro,sp26petro,1,SP-26 Petro,sp26petro,PIHC,Fosfat,NA
32533,Urea  Daun Buah,ureadaunbuah,1,Urea Daun Buah,ureadaunbuah,PIHC,Urea,NA
32703,NPK KEBOMAS 15-15-15,npkkebomas151515,1,NPK Kebomas 15-15-15,npkkebomas151515,PIHC,Majemuk,15-15-15
32712,NPK KEBOMAS 12-6-22+3Mg,npkkebomas126223mg,1,NPK Kebomas 12-6-22+3Mg,npkkebomas126223mg,PIHC,Majemuk,12-6-22
32723,NPK KEBOMAS 12-6-22 +3Mg,npkkebomas126223mg,1,NPK Kebomas 12-6-22+3Mg,npkkebomas126223mg,PIHC,Majemuk,12-6-22
32809,NPK KEBOMAS 12-6-22 +3Mg,npkkebomas126223mg,1,NPK Kebomas 12-6-22+3Mg,npkkebomas126223mg,PIHC,Majemuk,12-6-22
32811,NPK KEBOMAS 15-15-15,npkkebomas151515,1,NPK Kebomas 15-15-15,npkkebomas151515,PIHC,Majemuk,15-15-15
33921,Magnesium Sulfate,magnesiumsulfate,1,Magnesium Sulfate,magnesiumsulfate,Pak Tani,Mg,NA
34595,yaramila faster 2577,yaramilafaster2577,1,YaraMila FASTER 25-7-7,yaramilafaster2577,Yara,Majemuk,25-7-7
35156,NPK PELANGI 136274,npkpelangi136274,1,NPK Pelangi 13-6-27-4,npkpelangi136274,PIHC,Majemuk,13-6-27
35401,MAHKOTA ZA,mahkotaza,1,Mahkota ZA,mahkotaza,Mahkota,ZA,NA
35470,NPK KUJANG 30.6.8,npkkujang3068,1,NPK Kujang 30-6-8,npkkujang3068,PIHC,Majemuk,30-6-8
35801,Npk Petro Ningrat 12-11-20,npkpetroningrat121120,1,NPK Petro Ningrat 12-11-20,npkpetroningrat121120,PIHC,Majemuk,12-11-20
36394,Pelangi 16.16.16,pelangi161616,1,Pelangi 16-16-16,pelangi161616,PIHC,Majemuk,16-16-16
36396,Pelangi 12.12.17+2,pelangi1212172,1,Pelangi 12-12-17-2,pelangi1212172,PIHC,Majemuk,12-12-17
36583,Pelangi 12-12-17-2,pelangi1212172,1,Pelangi 12-12-17-2,pelangi1212172,PIHC,Majemuk,12-12-17
36646,DGW 161616 te,dgw161616te,1,DGW 16-16-16+TE,dgw161616te,DGW/Hextar,Majemuk,16-16-16
36672,Pelangi 15-15-15,pelangi151515,1,Pelangi 15-15-15,pelangi151515,PIHC,Majemuk,15-15-15
36694,mesti tsp,mestitsp,1,Mesti-TSP,mestitsp,LaoYing,Fosfat,NA
36703,Yaramila Unik 161616,yaramilaunik161616,1,YaraMila UNIK 16-16-16,yaramilaunik161616,Yara,Majemuk,16-16-16
36835,UREA NITREA,ureanitrea,1,Urea Nitrea,ureanitrea,PIHC,Urea,NA
36855,"pelangi 12 12 17, 2",pelangi1212172,1,Pelangi 12-12-17-2,pelangi1212172,PIHC,Majemuk,12-12-17
37082,YARA MILA UNIK 16.16.16,yaramilaunik161616,1,YaraMila UNIK 16-16-16,yaramilaunik161616,Yara,Majemuk,16-16-16
37085,Yaramila Unik 16-16-16,yaramilaunik161616,1,YaraMila UNIK 16-16-16,yaramilaunik161616,Yara,Majemuk,16-16-16
37173,Mutiara Grower 15-09-20+TE,mutiaragrower150920te,1,Mutiara GROWER 15-09-20+TE,mutiaragrower150920te,Mutiara,Majemuk,15-9-20
37896,PELANGI 12.12.17.2,pelangi1212172,1,Pelangi 12-12-17-2,pelangi1212172,PIHC,Majemuk,12-12-17
37897,YARAMILA UNIK 16.16.16,yaramilaunik161616,1,YaraMila UNIK 16-16-16,yaramilaunik161616,Yara,Majemuk,16-16-16
37969,Pelangi 16-16-16,pelangi161616,1,Pelangi 16-16-16,pelangi161616,PIHC,Majemuk,16-16-16
38977,mutiara 16 .16.16,mutiara161616,1,Mutiara 16-16-16,mutiara161616,Mutiara,Majemuk,16-16-16
40337,NPK pim 15 15 15,npkpim151515,1,NPK PIM 15-15-15,npkpim151515,PIHC,Majemuk,15-15-15
41004,nitro phoska 151515,nitrophoska151515,1,NITROPHOSKA 15-15-15,nitrophoska151515,BASF,Majemuk,15-15-15
41450,npk pim 151515,npkpim151515,1,NPK PIM 15-15-15,npkpim151515,PIHC,Majemuk,15-15-15
41623,NPK KEBOMAS 15 15 15,npkkebomas151515,1,NPK Kebomas 15-15-15,npkkebomas151515,PIHC,Majemuk,15-15-15
42383,"Mutiara 16,16,16",mutiara161616,1,Mutiara 16-16-16,mutiara161616,Mutiara,Majemuk,16-16-16
42468,nitrophoska 15 15 15,nitrophoska151515,1,NITROPHOSKA 15-15-15,nitrophoska151515,BASF,Majemuk,15-15-15
42536,NPK PIM 15-15-15,npkpim151515,1,NPK PIM 15-15-15,npkpim151515,PIHC,Majemuk,15-15-15
43199,DGW 161616+TE,dgw161616te,1,DGW 16-16-16+TE,dgw161616te,DGW/Hextar,Majemuk,16-16-16
43393,Petro Bio Fertil,petrobiofertil,1,Petro BioFertil,petrobiofertil,PIHC,Organik,NA
43494,sp_26 petro,sp26petro,1,SP-26 Petro,sp26petro,PIHC,Fosfat,NA
43561,SP-26 Petro,sp26petro,1,SP-26 Petro,sp26petro,PIHC,Fosfat,NA
42238,Mutiara Grower 18-09-20+TE,mutiaragrower180920te,0.9615384615,Mutiara GROWER 15-09-20+TE,mutiaragrower150920te,Mutiara,Majemuk,15-9-20
15900,kapur pertanian Kebomae,kapurpertaniankebomae,0.9565217391,Kapur Pertanian Kebomas,kapurpertaniankebomas,PIHC,Mikro,NA
733,NPK Pelangi 136274+B,npkpelangi136274b,0.9523809524,NPK Pelangi 13-6-27-4,npkpelangi136274,PIHC,Majemuk,13-6-27
17231,NPK PELANGI 13.6.27,npkpelangi13627,0.9523809524,NPK Pelangi 13-6-27-4,npkpelangi136274,PIHC,Majemuk,13-6-27
19851,Ptro nitrat 16-16-16,ptronitrat161616,0.9523809524,Petro Nitrat 16-16-16,petronitrat161616,PIHC,Majemuk,16-16-16
20757,NPK Pelangi 13 6 27,npkpelangi13627,0.9523809524,NPK Pelangi 13-6-27-4,npkpelangi136274,PIHC,Majemuk,13-6-27
24689,NPK Pelangi 13-6-27,npkpelangi13627,0.9523809524,NPK Pelangi 13-6-27-4,npkpelangi136274,PIHC,Majemuk,13-6-27
24930,NPK Pelangi 13-6-27-2,npkpelangi136272,0.9523809524,NPK Pelangi 13-6-27-4,npkpelangi136274,PIHC,Majemuk,13-6-27
30382,NPK pelang 13.6.27.4,npkpelang136274,0.9523809524,NPK Pelangi 13-6-27-4,npkpelangi136274,PIHC,Majemuk,13-6-27
39306,Nitrophonska 15-15-15,nitrophonska151515,0.95,NITROPHOSKA 15-15-15,nitrophoska151515,BASF,Majemuk,15-15-15
43893,Nitroposka 15-15-15,nitroposka151515,0.95,NITROPHOSKA 15-15-15,nitrophoska151515,BASF,Majemuk,15-15-15
26220,saprodap162012,saprodap162012,0.9473684211,Saprodap  16-20+12S,saprodap162012s,Pak Tani,Majemuk,16-20-0
6660,Magnesium sulfat,magnesiumsulfat,0.9411764706,Magnesium Sulfate,magnesiumsulfate,Pak Tani,Mg,NA
30236,magnesium sulfat,magnesiumsulfat,0.9411764706,Magnesium Sulfate,magnesiumsulfate,Pak Tani,Mg,NA
33029,npk kujang 368,npkkujang368,0.9411764706,NPK Kujang 30-6-8,npkkujang3068,PIHC,Majemuk,30-6-8
12892,mtiara 161616,mtiara161616,0.9375,Mutiara 16-16-16,mutiara161616,Mutiara,Majemuk,16-16-16
13579,mutiara 116-16-16,mutiara1161616,0.9375,Mutiara 16-16-16,mutiara161616,Mutiara,Majemuk,16-16-16
16575,mitroku 16 16 16,mitroku161616,0.9375,Nitroku 16-16-16,nitroku161616,PIHC,Majemuk,16-16-16
19926,Utiara 16 16 16,utiara161616,0.9375,Mutiara 16-16-16,mutiara161616,Mutiara,Majemuk,16-16-16
24092,Mutiara 16.16.16 @1,mutiara1616161,0.9375,Mutiara 16-16-16,mutiara161616,Mutiara,Majemuk,16-16-16
27601,Pelangi 20-10-10,pelangi201010,0.9375,Pelangi 20-10-18,pelangi201018,PIHC,Majemuk,20-10-18
27606,Pelangi 20 10 10,pelangi201010,0.9375,Pelangi 20-10-18,pelangi201018,PIHC,Majemuk,20-10-18
41267,MUTIARA 16-16-16 @1,mutiara1616161,0.9375,Mutiara 16-16-16,mutiara161616,Mutiara,Majemuk,16-16-16
42154,NPK PIM 1515115,npkpim1515115,0.9375,NPK PIM 15-15-15,npkpim151515,PIHC,Majemuk,15-15-15
24093,DGW 16.16.16+TE @1,dgw161616te1,0.9333333333,DGW 16-16-16+TE,dgw161616te,DGW/Hextar,Majemuk,16-16-16
8560,UTEA DAUN BUAH,uteadaunbuah,0.9285714286,Urea Daun Buah,ureadaunbuah,PIHC,Urea,NA
18422,BORAT EVERMAX,boratevermax,0.9285714286,Borate Evermax,borateevermax,LaoYing,Mikro,NA
34207,Ure Daun Buah,uredaunbuah,0.9285714286,Urea Daun Buah,ureadaunbuah,PIHC,Urea,NA
20441,"NPK PUSRI 13-6-27-4+0,65B",npkpusri136274065b,0.9259259259,NPK Pusri 13-6-27-4Mg+0.65B,npkpusri136274mg065b,PIHC,Majemuk,13-6-27
36399,NPK Pusri 13-6-27-4+0.65B,npkpusri136274065b,0.9259259259,NPK Pusri 13-6-27-4Mg+0.65B,npkpusri136274mg065b,PIHC,Majemuk,13-6-27
24887,urea nitria,ureanitria,0.9090909091,Urea Nitrea,ureanitrea,PIHC,Urea,NA
33636,urea nutrea,ureanutrea,0.9090909091,Urea Nitrea,ureanitrea,PIHC,Urea,NA
36398,Urea netrea,ureanetrea,0.9090909091,Urea Nitrea,ureanitrea,PIHC,Urea,NA
13260,petro nitrat 1616,petronitrat1616,0.9047619048,Petro Nitrat 16-16-16,petronitrat161616,PIHC,Majemuk,16-16-16
28620,NPK Pelangi 13.6.27.4 @50,npkpelangi13627450,0.9047619048,NPK Pelangi 13-6-27-4,npkpelangi136274,PIHC,Majemuk,13-6-27
36940,MAHKOTA 12 12 17 2,mahkota1212172,0.9047619048,Mahkota 12-12-17-2+TE,mahkota1212172te,Mahkota,Majemuk,12-12-17
5649,UREO PETRO,ureopetro,0.9,Urea Petro,ureapetro,PIHC,Urea,NA
6141,urea ptro,ureaptro,0.9,Urea Petro,ureapetro,PIHC,Urea,NA
10158,ureq petro,ureqpetro,0.9,Urea Petro,ureapetro,PIHC,Urea,NA
13235,Ferthiphos,ferthiphos,0.9,Fertiphos,fertiphos,Pak Tani,Fosfat,NA
13252,Ferthiphos,ferthiphos,0.9,Fertiphos,fertiphos,Pak Tani,Fosfat,NA
13548,urea Petro 5,ureapetro5,0.9,Urea Petro,ureapetro,PIHC,Urea,NA
18765,fertiphose,fertiphose,0.9,Fertiphos,fertiphos,Pak Tani,Fosfat,NA
21898,NPK KEBOMAS 15 15 6 4,npkkebomas151564,0.9,NPK Kebomas 15-15-15,npkkebomas151515,PIHC,Majemuk,15-15-15
22876,NPK Kebomas 15-15-15+TE,npkkebomas151515te,0.9,NPK Kebomas 15-15-15,npkkebomas151515,PIHC,Majemuk,15-15-15
27998,phonsgreen,phonsgreen,0.9,Phosgreen,phosgreen,PIHC,Fosfat,NA
33083,NPK KEBOMAS 15-15-6+4,npkkebomas151564,0.9,NPK Kebomas 15-15-15,npkkebomas151515,PIHC,Majemuk,15-15-15
33286,phossgreen,phossgreen,0.9,Phosgreen,phosgreen,PIHC,Fosfat,NA
36019,NPK Kebomas 15 - 15 - 6 - 4,npkkebomas151564,0.9,NPK Kebomas 15-15-15,npkkebomas151515,PIHC,Majemuk,15-15-15
40168,MAHKOTA 12-6-22-3,mahkota126223,0.9,Mahkota 12-6-22-3+TE,mahkota126223te,Mahkota,Majemuk,12-6-22
2155,Magnesium Sulfate SU,magnesiumsulfatesu,0.8888888889,Magnesium Sulfate,magnesiumsulfate,Pak Tani,Mg,NA
5377,petrocass,petrocass,0.8888888889,Petro-CAS,petrocas,PIHC,Mikro,NA
5440,Petrocase,petrocase,0.8888888889,Petro-CAS,petrocas,PIHC,Mikro,NA
6383,netralite,netralite,0.8888888889,Nitralite,nitralite,PIHC,Nitrogen,NA
7452,Petrocash,petrocash,0.8888888889,Petro-CAS,petrocas,PIHC,Mikro,NA
8626,petroces,petroces,0.8888888889,Petro-CAS,petrocas,PIHC,Mikro,NA
10465,fertiphoz,fertiphoz,0.8888888889,Fertiphos,fertiphos,Pak Tani,Fosfat,NA
11204,Fertipos,fertipos,0.8888888889,Fertiphos,fertiphos,Pak Tani,Fosfat,NA
11423,PHOSGREN.,phosgren,0.8888888889,Phosgreen,phosgreen,PIHC,Fosfat,NA
14881,meroke map,merokemap,0.8888888889,MerokeMOP,merokemop,Mutiara,Kalium,NA
21188,fertipos,fertipos,0.8888888889,Fertiphos,fertiphos,Pak Tani,Fosfat,NA
22318,petrocast,petrocast,0.8888888889,Petro-CAS,petrocas,PIHC,Mikro,NA
23222,Ferriphos,ferriphos,0.8888888889,Fertiphos,fertiphos,Pak Tani,Fosfat,NA
23429,maroke mop,marokemop,0.8888888889,MerokeMOP,merokemop,Mutiara,Kalium,NA
23873,Meroke SOP,merokesop,0.8888888889,MerokeMOP,merokemop,Mutiara,Kalium,NA
26355,NETRALITE,netralite,0.8888888889,Nitralite,nitralite,PIHC,Nitrogen,NA
26504,meroke mkp,merokemkp,0.8888888889,MerokeMOP,merokemop,Mutiara,Kalium,NA
28128,Pertiphos,pertiphos,0.8888888889,Fertiphos,fertiphos,Pak Tani,Fosfat,NA
29384,Petro cass,petrocass,0.8888888889,Petro-CAS,petrocas,PIHC,Mikro,NA
33506,"NPK Pusri 13.6.27.0,65 B",npkpusri13627065b,0.8888888889,NPK Pusri 13-6-27-4Mg+0.65B,npkpusri136274mg065b,PIHC,Majemuk,13-6-27
34104,nitralit,nitralit,0.8888888889,Nitralite,nitralite,PIHC,Nitrogen,NA
36665,pertiphos,pertiphos,0.8888888889,Fertiphos,fertiphos,Pak Tani,Fosfat,NA
41970,"NPK Pusri 13.6.27.0,65B",npkpusri13627065b,0.8888888889,NPK Pusri 13-6-27-4Mg+0.65B,npkpusri136274mg065b,PIHC,Majemuk,13-6-27
42109,fetiphos,fetiphos,0.8888888889,Fertiphos,fertiphos,Pak Tani,Fosfat,NA
42467,Phorgreen,phorgreen,0.8888888889,Phosgreen,phosgreen,PIHC,Fosfat,NA
43194,MerokeMKP,merokemkp,0.8888888889,MerokeMOP,merokemop,Mutiara,Kalium,NA
21015,Mutiara Grower 15-9-20,mutiaragrower15920,0.8846153846,Mutiara GROWER 15-09-20+TE,mutiaragrower150920te,Mutiara,Majemuk,15-9-20
27461,petro ningrat 12 11 20,petroningrat121120,0.8846153846,NPK Petro Ningrat 12-11-20,npkpetroningrat121120,PIHC,Majemuk,12-11-20
36692,mutiara grower 15 9 20,mutiaragrower15920,0.8846153846,Mutiara GROWER 15-09-20+TE,mutiaragrower150920te,Mutiara,Majemuk,15-9-20
36897,NPK Mutiara Grower 15-09-20+TE,npkmutiaragrower150920te,0.8846153846,Mutiara GROWER 15-09-20+TE,mutiaragrower150920te,Mutiara,Majemuk,15-9-20
37079,NPK Mutiara Grower 15.09.20+TE,npkmutiaragrower150920te,0.8846153846,Mutiara GROWER 15-09-20+TE,mutiaragrower150920te,Mutiara,Majemuk,15-9-20
4443,NPK kujang 30,npkkujang30,0.8823529412,NPK Kujang 30-6-8,npkkujang3068,PIHC,Majemuk,30-6-8
7762,magnesiu sulfat,magnesiusulfat,0.8823529412,Magnesium Sulfate,magnesiumsulfate,Pak Tani,Mg,NA
23035,NPK Kujang 300608,npkkujang300608,0.8823529412,NPK Kujang 30-6-8,npkkujang3068,PIHC,Majemuk,30-6-8
36515,NPK kujang 30.6.8@ kg,npkkujang3068kg,0.8823529412,NPK Kujang 30-6-8,npkkujang3068,PIHC,Majemuk,30-6-8
6148,Mutiara 16-16,mutiara1616,0.875,Mutiara 16-16-16,mutiara161616,Mutiara,Majemuk,16-16-16
6237,urea pin,ureapin,0.875,Urea PIM,ureapim,PIHC,Urea,NA
7758,mestila,mestila,0.875,Mesti-ZA,mestiza,LaoYing,ZA,NA
11418,mutiara 16.16,mutiara1616,0.875,Mutiara 16-16-16,mutiara161616,Mutiara,Majemuk,16-16-16
12205,Mutiara 16 16,mutiara1616,0.875,Mutiara 16-16-16,mutiara161616,Mutiara,Majemuk,16-16-16
12217,ZA Prtro,zaprtro,0.875,ZA Petro,zapetro,PIHC,ZA,NA
13914,Mutita 16 16 16,mutita161616,0.875,Mutiara 16-16-16,mutiara161616,Mutiara,Majemuk,16-16-16
14445,mutiara 16:16,mutiara1616,0.875,Mutiara 16-16-16,mutiara161616,Mutiara,Majemuk,16-16-16
15378,za peto,zapeto,0.875,ZA Petro,zapetro,PIHC,ZA,NA
18910,Phosgrow,phosgrow,0.875,Phosgro,phosgro,Pak Tani,Fosfat,NA
19175,npk m. 151515,npkm151515,0.875,NPK PIM 15-15-15,npkpim151515,PIHC,Majemuk,15-15-15
19594,Mutiara 16.16.16 @25,mutiara16161625,0.875,Mutiara 16-16-16,mutiara161616,Mutiara,Majemuk,16-16-16
