product_id	product_name	product_clean_name	result_sku	result_brand	result_type	result_formula	method_label	fuzzy_ratio	is_match_naive_regex	lev_dist_int	lev_dist_ratio
53	Gramoxone	gramoxone	Vrea	tawon	urea		fuzzy	42.0	False	6	
54	corrtonic 99	corrtonic 99	Others				Others	38.0	False	9	
55	vanesa/timun	vanesa  timun	Magnesium Sulfate	pak tani	mg		fuzzy	48.0	False	8	
56	Broadpls/ob jkt	broadpls  ob jkt	Nitroplus (ZA)	tawon	za		fuzzy	49.0	False	12	
57	bnih pare	bnih pare	Urea Nitrea	pihc	urea		fuzzy	40.0	False	6	
58	terong	terong	Others				Others	36.0	False	5	
59	Nitrea 50 kg	nitrea 50 kg	Urea Nitrea	pihc	urea		fuzzy	48.0	False	7	
60	Ally WG 	ally wg 	Others				Others	38.0	False	7	
61	Anti Keong 100 gr	anti keong 100 gr	MestiKisrit	laoying	mg		fuzzy	41.0	False	11	
62	BPMC	bpmc	Others				Others	27.0	False	4	
63	ponskaplus	ponskaplus	Others				Others	38.0	False	8	
64	Benjos 5 gr	benjos 5 gr	Others				Others	38.0	False	8	
65	Bentan 80 wp 	bentan 80 wp 	Urea Nitrea	pihc	urea		fuzzy	41.0	False	9	
66	Bentan 45 wp 	bentan 45 wp 	Urea Nitrea	pihc	urea		fuzzy	41.0	False	9	
67	Broundplus 	broundplus 	Nitroplus (ZA)	tawon	za		fuzzy	44.0	False	8	
68	Bigrow 10 gr	bigrow 10 gr	Others				Others	38.0	False	8	
69	Test	test	Others				Others	32.0	False	3	
70	naga	naga	Others				Others	27.0	False	3	
71	primaze	primaze	Others				Others	35.0	False	5	
72	round up	round up	Vrea	tawon	urea		fuzzy	43.0	False	6	
73	primastrike	primastrike	Borat	mahkota	mikro		fuzzy	40.0	False	7	
74	gramaxone	gramaxone	Vrea	tawon	urea		fuzzy	50.0	False	6	
75	npk	npk	Others				Others	19.0	False	3	
76	heksa	heksa	Others				Others	31.0	False	3	
77	boron	boron	Others				Others	33.0	False	2	0.6
78	dup burung	dup burung	Others				Others	36.0	False	6	
79	dup cantik	dup cantik	Others				Others	31.0	False	6	
80	kamas	kamas	Others				Others	33.0	False	3	
81	kcl mahkota 	kcl mahkota 	Mahkota ZA	mahkota	za		fuzzy	61.0	False	6	
82	mutiara 	mutiara 	MerokeZA	mutiara	za		fuzzy	59.0	False	5	
83	mutiara grower	mutiara grower	Mutiara 16-16-16	mutiara	majemuk	 16-16-16	levenshtein	41.0	False	8	0.625
84	nitroku	nitroku	Others				Others	39.0	False	5	
85	KCL White	kcl white	Others				Others	26.0	False	6	
86	sandawa buah	sandawa buah	Urea Daun Buah	pihc	urea		fuzzy	44.0	False	6	
87	mi sedap goreng	mi sedap goreng	Mesti-ZA	laoying	za		fuzzy	46.0	False	11	
88	susu sasaet	susu sasaet	KSP	tawon	fosfat		fuzzy	44.0	False	8	
89	Hades	hades	Others				Others	35.0	False	3	
90	primalima	primalima	Others				Others	37.0	False	6	
91	indamin plus	indamin plus	Others				Others	39.0	False	9	
92	Arivo	arivo	Others				Others	29.0	False	4	
93	ronsha 100ml	ronsha 100 ml	NITROPHOSKA 13-10-20	basf	majemuk	 13-10-20	fuzzy	43.0	False	10	
94	Bisi	bisi	Others				Others	32.0	False	3	
95	Amistartop	amistartop	Others				Others	41.0	True	6	
96	PhonskaPlus	phonskaplus	Others				Others	39.0	False	7	
97	Denis	denis	Others				Others	31.0	False	4	
98	tugard	tugard	Others				Others	29.0	False	5	
99	Detacron	detacron	Mestac	laoying	nitrogen		fuzzy	45.0	False	5	
100	lanete	lanete	Others				Others	34.0	False	5	
101	Mod Panda	mod panda	Urecote	pak tani	urea		fuzzy	40.0	False	7	
102	Liquid Cookies	liquid cookies	Others				Others	34.0	False	10	
103	abacel 1ltr	abacel 1 ltr	YaraVera	yara	urea		fuzzy	40.0	False	9	
104	gramaxon	gramaxon	Vrea	tawon	urea		fuzzy	43.0	False	6	
105	MKP	mkp	Others				Others	16.0	False	2	
106	urea	urea	Vrea	tawon	urea		levenshtein	42.0	False	1	0.75
107	spuye	spuye	Others				Others	32.0	False	4	
108	Phonska Plus	phonska plus	Phonska Plus 15-15-15+9S+0.2Zn	pihc	majemuk	 15-15-15	fuzzy	41.0	False	8	
109	Petro-CAS	petro  cas	Petro-CAS	pihc	mikro		levenshtein	65.0	False	0	1.0
110	excel	excel	Others				Others	26.0	False	4	
111	spontan 4lt	spontan 4 lt	KSP	tawon	fosfat		fuzzy	50.0	False	9	
112	paseo	paseo	Others				Others	31.0	False	4	
113	sumo500ml	sumo 500 ml	Others				Others	34.0	False	9	
114	SP 27	sp 27	Others				Others	29.0	False	4	
115	antracol 250gr	antracol 250 gr	Urea Nitrea	pihc	urea		fuzzy	44.0	False	11	
116	Antracol 500gr	antracol 500 gr	Urea Nitrea	pihc	urea		fuzzy	44.0	False	11	
117	Antracol 1000gr	antracol 1000 gr	Urea Nitrea	pihc	urea		fuzzy	43.0	False	11	
118	Amistartop 100ml	amistartop 100 ml	Others				Others	44.0	True	11	
119	Amistartop250ml	amistartop 250 ml	Others				Others	42.0	True	11	
120	Avidor	avidor	Others				Others	29.0	False	5	
121	ATONIK 500 ML	atonik 500 ml	Others				Others	39.0	False	10	
122	ACROBAT 25 GR	acrobat 25 gr	Others				Others	39.0	False	10	
123	AMABAS 400 ML	amabas 400 ml	Others				Others	38.0	False	10	
124	AGROGIB 10 ML	agrogib 10 ml	Others				Others	38.0	False	10	
125	ANTILA 1 KG	antila 1 kg	Ammonium Sulfate	yara	za		fuzzy	40.0	False	8	
126	AMOTAN 200 ML	amotan 200 ml	Borat	mahkota	mikro		fuzzy	44.0	False	9	
127	AKRON 500 ML	akron 500 ml	Others				Others	36.0	False	9	
128	ARJUNA 80 ML	arjuna 80 ml	Others				Others	37.0	False	8	
129	ARJUNA 250 ML	arjuna 250 ml	Others				Others	36.0	False	9	
130	AGIL 100 ML	agil 100 ml	Pelangi 20-10-18	pihc	majemuk	 20-10-18	fuzzy	40.0	False	8	
131	AGIL 250 ML	agil 250 ml	Pelangi 20-10-18	pihc	majemuk	 20-10-18	fuzzy	40.0	False	8	
132	AGRIMEC 100 ML	agrimec 100 ml	Brucite	basf	mg		fuzzy	41.0	False	10	
133	AMINO AGE 1 LTR	amino age 1 ltr	Ammonium Sulfate	yara	za		fuzzy	41.0	False	11	
134	ABACEL 500 ML	abacel 500 ml	Brucite	basf	mg		fuzzy	43.0	False	10	
135	ABACEL 1 LTR	abacel 1 ltr	YaraVera	yara	urea		fuzzy	40.0	False	9	
136	AGUS 100 ML	agus 100 ml	Others				Others	36.0	False	8	
137	AGUS 250 ML	agus 250 ml	Others				Others	35.0	False	8	
138	AGRITHANE 1 KG	agrithane 1 kg	Brucite	basf	mg		fuzzy	48.0	False	11	
139	ALFART 100 GR	alfart 100 gr	Others				Others	39.0	False	10	
140	ATTIK 1 LTR	attik 1 ltr	Borat	mahkota	mikro		fuzzy	40.0	False	8	
141	AVJUNSU 1 LTR	avjunsu 1 ltr	Others				Others	39.0	False	10	
142	ACHILLES 400 ML	achilles 400 ml	Brucite	basf	mg		fuzzy	40.0	False	12	
143	BACTOCYN 200 ML	bactocyn 200 ml	Brucite	basf	mg		fuzzy	40.0	False	11	
144	BACTERISIDA 60 GR	bacterisida 60 gr	Brucite	basf	mg		fuzzy	44.0	False	13	
145	BIGROW 5 GR	bigrow 5 gr	Others				Others	38.0	False	8	
146	BAMEX 100 ML	bamex 100 ml	Others				Others	37.0	False	9	
147	BABLAS 1 LTR	bablas 1 ltr	HXAS	dgw hextar	za		fuzzy	40.0	False	8	
148	BORER 250 ML	borer 250 ml	Brucite	basf	mg		fuzzy	44.0	False	8	
149	BORER 500 ML	borer 500 ml	Brucite	basf	mg		fuzzy	44.0	False	8	
150	BOM PADI 	bom padi 	Others				Others	19.0	False	6	
151	BESGRIMEX 1 LTR	besgrimex 1 ltr	Brucite	basf	mg		fuzzy	40.0	False	10	
152	BENTAN 100 GR	bentan 100 gr	Vrea	tawon	urea		fuzzy	43.0	False	9	
153	BAYCARD 500 ML	baycard 500 ml	Others				Others	34.0	False	11	
154	BION. M 500 GR	bion  m 500 gr	Brucite	basf	mg		fuzzy	41.0	False	11	
155	BAYFOLAN 500 ML	bayfolan 500 ml	Others				Others	36.0	False	11	
156	BONZA 250 GR	bonza 250 gr	Others				Others	39.0	False	9	
157	BROOD PLUS 10 GR	brood plus 10 gr	Urea Pusri	pihc	urea		fuzzy	44.0	False	10	
158	BESTONIL 400 GR	bestonil 400 gr	Mesti-ZA	laoying	za		fuzzy	40.0	False	9	
159	BARCA 1 LTR	barca 1 ltr	YaraVera	yara	urea		fuzzy	41.0	False	7	
160	COLOMBUS 500 ML	colombus 500 ml	Others				Others	33.0	False	12	
161	COLOMBUS 1 LTR	colombus 1 ltr	Nitroplus (ZA)	tawon	za		fuzzy	40.0	False	10	
162	COLOMBUS CABE	colombus cabe	Others				Others	35.0	False	9	
163	CALICORN 500 ML	calicorn 500 ml	Others				Others	36.0	False	12	
164	CURACRON 250 ML	curacron 250 ml	Urea Petro	pihc	urea		fuzzy	40.0	False	11	
165	CURACRON 500 ML	curacron 500 ml	Urea Petro	pihc	urea		fuzzy	40.0	False	11	
166	CONFIDOR 100 GR	confidor 100 gr	Others				Others	33.0	False	12	
167	CEPHA 100 ML	cepha 100 ml	NITROPHOSKA 13-10-20	basf	majemuk	 13-10-20	fuzzy	40.0	False	9	
168	CABION 100 GR	cabion 100 gr	Others				Others	36.0	False	10	
169	CABRIO 100 ML	cabrio 100 ml	Brucite	basf	mg		fuzzy	43.0	False	10	
170	CABRIO 250 ML	cabrio 250 ml	Brucite	basf	mg		fuzzy	43.0	False	10	
171	CYPIRAN 100 GR	cypiran 100 gr	Others				Others	38.0	False	11	
172	CALIO 1 KG	calio 1 kg	Brucite	basf	mg		fuzzy	40.0	False	7	
173	CALSIUM KUMBANG 1 KG	calsium kumbang 1 kg	Magnesium Sulfate	pak tani	mg		fuzzy	45.0	False	14	
174	DURBAN 500 ML	durban 500 ml	Others				Others	36.0	False	8	
175	DURBAN 1 LTR	durban 1 ltr	Urea Nitrea	pihc	urea		fuzzy	42.0	False	7	
176	DORSTIK 500 ML	dorstik 500 ml	Others				Others	39.0	False	9	
177	DORSTIK 1 LTR	dorstik 1 ltr	Others				Others	38.0	False	8	
178	DITHANE 250 GR	dithane 250 gr	Brucite	basf	mg		fuzzy	41.0	False	11	
179	DITHANE 500 GR	dithane 500 gr	Brucite	basf	mg		fuzzy	41.0	False	11	
180	DITHANE 1 KG	dithane 1 kg	Brucite	basf	mg		fuzzy	44.0	False	9	
181	DENSE 200 ML	dense 200 ml	ENTEC 20-10-10	basf	majemuk	 20-10-10	fuzzy	46.0	False	8	
182	DENSE 500 ML	dense 500 ml	ENTEC 13-10-20	basf	majemuk	 13-10-20	fuzzy	41.0	False	9	
183	DEMOLISH 100 ML	demolish 100 ml	Others				Others	37.0	False	11	
184	DEMOLIS 200 ML	demolis 200 ml	Pelangi 20-10-18	pihc	majemuk	 20-10-18	fuzzy	42.0	False	10	
185	DECIS 50 ML	decis 50 ml	Others				Others	38.0	False	8	
186	DECIS 100 ML	decis 100 ml	ENTEC 13-10-20	basf	majemuk	 13-10-20	fuzzy	41.0	False	9	
187	DEKAMON 500 ML	dekamon 500 ml	Others				Others	39.0	False	11	
188	DOGUMON 1,25 LTR	dogumon 1  25 ltr	Others				Others	39.0	False	12	
189	DAKOZIN 500 GR	dakozin 500 gr	Others				Others	34.0	False	11	
190	Dumil100gr	dumil 100 gr	Others				Others	37.0	False	9	
191	Dangke250gr	dangke 250 gr	Others				Others	35.0	False	9	
192	Dimetion300ml	dimetion 300 ml	MestiKisrit	laoying	mg		fuzzy	43.0	False	10	
193	Divatrin1ltr	divatrin 1 ltr	Nitralite	pihc	nitrogen		fuzzy	43.0	False	10	
194	Dagger250ml	dagger 250 ml	Others				Others	38.0	False	9	
195	ETRA BORER250ML	etra borer 250 ml	Petro BioFertil	pihc	organik		fuzzy	44.0	False	10	
196	EXTRA BORER 500ML	extra borer 500 ml	Mutiara GROWER 15-09-20+TE	mutiara	majemuk	 15-9-20	fuzzy	43.0	False	11	
197	Etrel 100ml	etrel 100 ml	ENTEC 13-10-20	basf	majemuk	 13-10-20	fuzzy	46.0	False	8	
198	confidor	confidor	Others				Others	34.0	False	7	
199	Abacel	abacel	Others				Others	33.0	False	5	
200	abacel500ml	abacel 500 ml	Brucite	basf	mg		fuzzy	43.0	False	10	
201	npk compact	npk compact	Others				Others	36.0	False	8	
202	NPK CH-CHOL	npk ch  chol	Others				Others	34.0	False	8	
203	kaptan	kaptan	KSP	tawon	fosfat		fuzzy	45.0	False	4	
204	Rounup	rounup	Others				Others	38.0	False	5	
205	comfidor	comfidor	Others				Others	30.0	False	7	
206	Nabati	nabati	Others				Others	32.0	False	4	
207	Em-4 1ltr	em  4 1 ltr	Others				Others	38.0	False	8	
208	Explour 250ml	explour 250 ml	Others				Others	35.0	False	11	
209	Emerge 250ml	emerge 250 ml	Others				Others	39.0	False	9	
210	Emarvel 200ml	emarvel 200 ml	Others				Others	39.0	False	9	
211	Emaplus 250ml	emaplus 250 ml	Urea Pusri	pihc	urea		fuzzy	41.0	False	9	
212	Fujiwan 100ml	fujiwan 100 ml	Others				Others	36.0	False	10	
213	Fujiwan 250ml	fujiwan 250 ml	Others				Others	36.0	False	10	
214	Fujiwan 500ml	fujiwan 500 ml	Others				Others	36.0	False	10	
215	Fastac 500ml	fastac 500 ml	Others				Others	35.0	False	9	
216	Furadan 1kg	furadan 1 kg	Urea Daun Buah	pihc	urea		fuzzy	44.0	False	8	
217	Furadan 2kg	furadan 2 kg	Urea Daun Buah	pihc	urea		fuzzy	44.0	False	8	
218	Fost Up 1ltr	fost up 1 ltr	Fertiphos	pak tani	fosfat		fuzzy	42.0	False	9	
219	Full Stick 1ltr	full stick 1 ltr	Others				Others	39.0	False	11	
220	Folicur 250ml	folicur 250 ml	Others				Others	33.0	False	11	
221	Fitgrow 250ml	fitgrow 250 ml	Others				Others	38.0	False	9	
222	Fitgrow 500ml	fitgrow 500 ml	Others				Others	39.0	False	9	
223	Gandasil D. 100gr	gandasil d  100 gr	Others				Others	38.0	False	13	
224	Gandasil D. 500ml	gandasil d  500 ml	Others				Others	38.0	False	14	
225	Gandasil B. 100gr	gandasil b  100 gr	Others				Others	38.0	False	13	
226	Gandasil B. 500gr	gandasil b  500 gr	Others				Others	38.0	False	14	
227	Gramaxon 250ml	gramaxon 250 ml	Borate Evermax	laoying	mikro		fuzzy	42.0	False	11	
228	Gramaxon 500ml	gramaxon 500 ml	Borate Evermax	laoying	mikro		fuzzy	42.0	False	11	
229	Gramaxon 1ltr	gramaxon 1 ltr	Vrea	tawon	urea		fuzzy	48.0	False	10	
230	Goal OK. 100ml	goal ok  100 ml	Others				Others	39.0	False	11	
231	Golden Gib. 5gr	golden gib  5 gr	Others				Others	38.0	False	12	
232	GP Natural 100ml	gp natural 100 ml	NITROPHOSKA 13-10-20	basf	majemuk	 13-10-20	fuzzy	40.0	False	12	
233	Grandtonik 1ltr	grandtonik 1 ltr	Vrea	tawon	urea		fuzzy	45.0	False	12	
234	Grandtonik 5ltr	grandtonik 5 ltr	Vrea	tawon	urea		fuzzy	45.0	False	12	
235	Gren Tani. 1ltr	gren tani  1 ltr	Urecote	pak tani	urea		fuzzy	49.0	False	10	
236	Gaya 400ml	gaya 400 ml	Others				Others	32.0	False	8	
237	Gaya 1ltr	gaya 1 ltr	Others				Others	36.0	False	7	
238	Hopsanol 100ml	hopsanol 100 ml	NITROPHOSKA 13-10-20	basf	majemuk	 13-10-20	fuzzy	42.0	False	12	
239	HAJAR 100 ML	hajar 100 ml	Others				Others	39.0	False	9	
240	HAJAR 250 ML	hajar 250 ml	Others				Others	35.0	False	9	
241	HANTONIK 1 LTR	hantonik 1 ltr	Ammonium Sulfate	yara	za		fuzzy	42.0	False	10	
242	IMIDASTAR 250 ML	imidastar 250 ml	Others				Others	43.0	True	11	
243	INTAN TOP 1 LTR	intan top 1 ltr	Nitralite	pihc	nitrogen		fuzzy	42.0	False	11	
244	KNO MERAH 2 KG	kno merah 2 kg	Pak Tani  16-16-16 Merah	pak tani	majemuk	 16-16-16	fuzzy	41.0	False	10	
245	KANO PUTIH 2 KG	kano putih 2 kg	ZK Petro	pihc	zk		fuzzy	52.0	False	11	
246	KALIANDRA 400 ML	kaliandra 400 ml	MerokeZA	mutiara	za		fuzzy	40.0	False	12	
247	KLOCYPER 500 ML	klocyper 500 ml	Others				Others	39.0	False	12	
248	KOFIT PLUS 	kofit plus 	Nitroplus (ZA)	tawon	za		fuzzy	44.0	False	7	
249	KING GIB 	king gib 	Others				Others	39.0	False	7	
250	KERINA TRAP 	kerina trap 	MerokeZA	mutiara	za		fuzzy	52.0	False	8	
251	KOJO 250 ML	kojo 250 ml	Others				Others	32.0	False	9	
252	KANON 400 ML	kanon 400 ml	Others				Others	36.0	False	10	
253	KENFAS 500 ML	kenfas 500 ml	Others				Others	36.0	False	10	
254	LINDOMIN 200 ML	lindomin 200 ml	Pelangi 20-10-18	pihc	majemuk	 20-10-18	fuzzy	41.0	False	12	
255	LINDOMIN 400 ML	lindomin 400 ml	Others				Others	36.0	False	12	
256	LANDEP 500 ML	landep 500 ml	Others				Others	39.0	False	10	
257	LANDEP 1 LTR	landep 1 ltr	Others				Others	36.0	False	9	
258	LEM JOS 5 LTR	lem jos 5 ltr	Others				Others	29.0	False	9	
259	LARVIN 100 GR	larvin 100 gr	Others				Others	39.0	False	10	
260	MAGIC GREEN 60 GR	magic green 60 gr	Mestac	laoying	nitrogen		fuzzy	40.0	False	12	
261	MARSHAL 500 ML	marshal 500 ml	Mahkota ZA	mahkota	za		fuzzy	40.0	False	10	
262	MARSHAL 100 GR	marshal 100 gr	Others				Others	38.0	False	10	
263	METINDO 100 GR	metindo 100 gr	MESTIFOS 15-20-0+12S	laoying	majemuk	 15-20-0	fuzzy	42.0	False	9	
264	METINDO 200 GR	metindo 200 gr	MESTIFOS 15-20-0+12S	laoying	majemuk	 15-20-0	fuzzy	42.0	False	9	
265	MASOIL 500 ML	masoil 500 ml	Others				Others	38.0	False	8	
266	MANDOXON 1 LTR	mandoxon 1 ltr	Others				Others	38.0	False	10	
267	MIPCINTA 100 GR	mipcinta 100 gr	Mutiara SPRINTER 20-10-10	mutiara	majemuk	 20-10-10	fuzzy	43.0	False	11	
268	MIPCINTA 500 GR	mipcinta 500 gr	Brucite	basf	mg		fuzzy	40.0	False	11	
269	MATCH 100 ML	match 100 ml	ENTEC 13-10-20	basf	majemuk	 13-10-20	fuzzy	41.0	False	8	
270	MITION 250 ML	mition 250 ml	MestiKisrit	laoying	mg		fuzzy	40.0	False	9	
271	MITION 500 ML	mition 500 ml	MestiKisrit	laoying	mg		fuzzy	40.0	False	9	
272	MAESTRO 500 ML	maestro 500 ml	ZA Petro	pihc	za		fuzzy	47.0	False	8	
273	NUGOR 500 ML	nugor 500 ml	Others				Others	36.0	False	9	
274	NORDOX 500 GR	nordox 500 gr	Others				Others	31.0	False	10	
275	NPK GOAL 1 LTR	npk goal 1 ltr	Others				Others	38.0	False	10	
276	NPK GOAL 2 LTR	npk goal 2 ltr	Others				Others	35.0	False	10	
277	NPK GOAL 5 LTR	npk goal 5 ltr	Others				Others	38.0	False	10	
278	NATIVO 50 GR	nativo 50 gr	Others				Others	38.0	False	9	
279	NUGRASS 100 ML	nugrass 100 ml	Others				Others	38.0	False	10	
280	NUGRASS 250 ML	nugrass 250 ml	Others				Others	35.0	False	10	
281	ORTHENE 25 GR	orthene 25 gr	Brucite	basf	mg		fuzzy	43.0	False	10	
282	ORTHENE 100 GR	orthene 100 gr	Brucite	basf	mg		fuzzy	41.0	False	11	
283	ORCA 1 LTR	orca 1 ltr	Borat	mahkota	mikro		fuzzy	41.0	False	6	
284	Plenum 25gr	plenum 25 gr	Others				Others	33.0	False	9	
285	Plenum 100gr	plenum 100 gr	Others				Others	35.0	False	10	
286	Prevathon 100ml	prevathon 100 ml	Vrea	tawon	urea		fuzzy	45.0	False	11	
287	Prevathon 250ml	prevathon 250 ml	Vrea	tawon	urea		fuzzy	45.0	False	11	
288	Paclo 100gr	paclo 100 gr	Others				Others	35.0	False	9	
289	Pegasus80ml	pegasus 80 ml	Petro-CAS	pihc	mikro		fuzzy	41.0	False	9	
290	Petrogenol	petrogenol	Nitralite	pihc	nitrogen		fuzzy	42.0	False	5	
291	Petrokum	petrokum	Petro-CAS	pihc	mikro		levenshtein	50.0	False	5	0.6666666667
292	Power magic1kg	power magic 1 kg	ZK Petro	pihc	zk		fuzzy	50.0	False	12	
293	pemulus 1kg	pemulus 1 kg	Others				Others	36.0	False	9	
294	Predator 100ml	predator 100 ml	Pelangi Agro 20-10-10	pihc	majemuk	 20-10-10	fuzzy	41.0	False	10	
295	predator250ml	predator 250 ml	Urea Petro	pihc	urea		fuzzy	40.0	False	10	
296	pletora100ml	pletora 100 ml	Petro-CAS	pihc	mikro		fuzzy	46.0	False	9	
297	pletora 250ml	pletora 250 ml	Petro-CAS	pihc	mikro		fuzzy	46.0	False	9	
298	pyrinex. c400ml	pyrinex  c 400 ml	Petro-CAS	pihc	mikro		fuzzy	42.0	False	13	
299	PAG gulma	pag gulma	Others				Others	33.0	False	7	
300	phospate cair 1ltr	phospate cair 1 ltr	Triple Super Phospate (TSP)	mahkota	fosfat		fuzzy	41.0	False	13	
301	plantomucyn100gr	plantomucyn 100 gr	Others				Others	38.0	False	13	
302	pointer1ltr	pointer 1 ltr	Mutiara SPRINTER 20-10-10	mutiara	majemuk	 20-10-10	fuzzy	41.0	False	9	
303	Qiuvita N 500gr	qiuvita n 500 gr	Others				Others	39.0	False	12	
304	Qiuvita P 500gr	qiuvita p 500 gr	Urea Nitrea	pihc	urea		fuzzy	43.0	False	12	
305	Qiuvita K 500gr	qiuvita k 500 gr	Others				Others	39.0	False	13	
306	Qaishar100gr	qaishar 100 gr	Others				Others	38.0	False	11	
307	Regent saset	regent saset	Phosgreen	pihc	fosfat		fuzzy	48.0	False	8	
308	Regent100ml	regent 100 ml	ENTEC 13-10-20	basf	majemuk	 13-10-20	fuzzy	45.0	False	10	
309	Regent250ml	regent 250 ml	ENTEC 13-10-20	basf	majemuk	 13-10-20	fuzzy	40.0	False	10	
310	Regent500ml	regent 500 ml	ENTEC 13-10-20	basf	majemuk	 13-10-20	fuzzy	40.0	False	10	
311	Rizotin100ml	rizotin 100 ml	Brucite	basf	mg		fuzzy	41.0	False	10	
312	Rizotin250ml	rizotin 250 ml	Brucite	basf	mg		fuzzy	41.0	False	10	
313	Rizotin500ml	rizotin 500 ml	Brucite	basf	mg		fuzzy	41.0	False	10	
314	Rosha400ml	rosha 400 ml	NITROPHOSKA 13-10-20	basf	majemuk	 13-10-20	fuzzy	40.0	False	9	
315	Rumpas100ml	rumpas 100 ml	Brucite	basf	mg		fuzzy	43.0	False	9	
316	RicestarXtra100ml	ricestarxtra 100 ml	Others				Others	40.0	True	14	
317	Racumin	racumin	Others				Others	36.0	False	6	
318	Rojo tani1ltr	rojo tani 1 ltr	Urecote	pak tani	urea		fuzzy	50.0	False	10	
319	Rsydent500ml	rsydent 500 ml	Others				Others	39.0	False	11	
320	Rajacol1kg	rajacol 1 kg	Others				Others	39.0	False	9	
321	Ridomil100gr	ridomil 100 gr	Others				Others	38.0	False	11	
322	Roundup200ml	roundup 200 ml	Petro Niphos 20-20+13S	pihc	majemuk	 20-20-0	fuzzy	40.0	False	11	
323	Roundup1ltr	roundup 1 ltr	Others				Others	38.0	False	9	
324	Score80ml	score 80 ml	Others				Others	38.0	False	8	
325	Score250ml	score 250 ml	Others				Others	38.0	False	9	
326	Starmin200ml	starmin 200 ml	Others				Others	40.0	True	11	
327	Starmin400ml	starmin 400 ml	Others				Others	39.0	True	11	
