B_string_raw,B_string,string_similarity,Best_A_strings_raw,Best_A_strings,Best_A_Brand,Best_A_Type,Best_A_Formula,,
Kapur Pertanian Kebomas,kapurpertaniankebomas,100.00%,Kapur Pertanian Kebomas,kapurpertaniankebomas,PIHC,Mikro,NA,21,
MEROKE ZA,merokeza,100.00%,MerokeZA,merokeza,Mutiara,ZA,NA,8,
npk pusri 161616,npkpusri161616,100.00%,NPK Pusri 16-16-16,npkpusri161616,PIHC,Majemuk,16-16-16,14,
Phosgreen,phosgreen,100.00%,Phosgreen,phosgreen,PIHC,Fosfat,NA,9,
Petro Cas,petrocas,100.00%,Petro-CAS,petrocas,PIHC,Mikro,NA,8,
NPK Pusri 15 15 15,npkpusri151515,100.00%,NPK Pusri 15-15-15,npkpusri151515,PIHC,Majemuk,15-15-15,14,
ZA. PETRO,zapetro,100.00%,ZA Petro,zapetro,PIHC,ZA,NA,7,
Urea/Nitrea,ureanitrea,100.00%,Urea Nitrea,ureanitrea,PIHC,Urea,NA,10,
NPK PUSRI  15-15-15,npkpusri151515,100.00%,NPK Pusri 15-15-15,npkpusri151515,PIHC,Majemuk,15-15-15,14,
SP -26 Petro,sp26petro,100.00%,SP-26 Petro,sp26petro,PIHC,Fosfat,NA,9,
Urea  Daun Buah,ureadaunbuah,100.00%,Urea Daun Buah,ureadaunbuah,PIHC,Urea,NA,12,
NPK KEBOMAS 15-15-15,npkkebomas151515,100.00%,NPK Kebomas 15-15-15,npkkebomas151515,PIHC,Majemuk,15-15-15,16,
NPK KEBOMAS 12-6-22+3Mg,npkkebomas126223mg,100.00%,NPK Kebomas 12-6-22+3Mg,npkkebomas126223mg,PIHC,Majemuk,12-6-22,18,
NPK KEBOMAS 12-6-22 +3Mg,npkkebomas126223mg,100.00%,NPK Kebomas 12-6-22+3Mg,npkkebomas126223mg,PIHC,Majemuk,12-6-22,18,
NPK KEBOMAS 12-6-22 +3Mg,npkkebomas126223mg,100.00%,NPK Kebomas 12-6-22+3Mg,npkkebomas126223mg,PIHC,Majemuk,12-6-22,18,
NPK KEBOMAS 15-15-15,npkkebomas151515,100.00%,NPK Kebomas 15-15-15,npkkebomas151515,PIHC,Majemuk,15-15-15,16,
Magnesium Sulfate,magnesiumsulfate,100.00%,Magnesium Sulfate,magnesiumsulfate,Pak Tani,Mg,NA,16,
yaramila faster 2577,yaramilafaster2577,100.00%,YaraMila FASTER 25-7-7,yaramilafaster2577,Yara,Majemuk,25-7-7,18,
NPK PELANGI 136274,npkpelangi136274,100.00%,NPK Pelangi 13-6-27-4,npkpelangi136274,PIHC,Majemuk,13-6-27,16,
MAHKOTA ZA,mahkotaza,100.00%,Mahkota ZA,mahkotaza,Mahkota,ZA,NA,9,
NPK KUJANG 30.6.8,npkkujang3068,100.00%,NPK Kujang 30-6-8,npkkujang3068,PIHC,Majemuk,30-6-8,13,
Npk Petro Ningrat 12-11-20,npkpetroningrat121120,100.00%,NPK Petro Ningrat 12-11-20,npkpetroningrat121120,PIHC,Majemuk,12-11-20,21,
Pelangi 16.16.16,pelangi161616,100.00%,Pelangi 16-16-16,pelangi161616,PIHC,Majemuk,16-16-16,13,
Pelangi 12.12.17+2,pelangi1212172,100.00%,Pelangi 12-12-17-2,pelangi1212172,PIHC,Majemuk,12-12-17,14,
Pelangi 12-12-17-2,pelangi1212172,100.00%,Pelangi 12-12-17-2,pelangi1212172,PIHC,Majemuk,12-12-17,14,
DGW 161616 te,dgw161616te,100.00%,DGW 16-16-16+TE,dgw161616te,DGW/Hextar,Majemuk,16-16-16,11,
Pelangi 15-15-15,pelangi151515,100.00%,Pelangi 15-15-15,pelangi151515,PIHC,Majemuk,15-15-15,13,
mesti tsp,mestitsp,100.00%,Mesti-TSP,mestitsp,LaoYing,Fosfat,NA,8,
Yaramila Unik 161616,yaramilaunik161616,100.00%,YaraMila UNIK 16-16-16,yaramilaunik161616,Yara,Majemuk,16-16-16,18,
UREA NITREA,ureanitrea,100.00%,Urea Nitrea,ureanitrea,PIHC,Urea,NA,10,
"pelangi 12 12 17, 2",pelangi1212172,100.00%,Pelangi 12-12-17-2,pelangi1212172,PIHC,Majemuk,12-12-17,14,
YARA MILA UNIK 16.16.16,yaramilaunik161616,100.00%,YaraMila UNIK 16-16-16,yaramilaunik161616,Yara,Majemuk,16-16-16,18,
Yaramila Unik 16-16-16,yaramilaunik161616,100.00%,YaraMila UNIK 16-16-16,yaramilaunik161616,Yara,Majemuk,16-16-16,18,
Mutiara Grower 15-09-20+TE,mutiaragrower150920te,100.00%,Mutiara GROWER 15-09-20+TE,mutiaragrower150920te,Mutiara,Majemuk,15-9-20,21,
PELANGI 12.12.17.2,pelangi1212172,100.00%,Pelangi 12-12-17-2,pelangi1212172,PIHC,Majemuk,12-12-17,14,
YARAMILA UNIK 16.16.16,yaramilaunik161616,100.00%,YaraMila UNIK 16-16-16,yaramilaunik161616,Yara,Majemuk,16-16-16,18,
Pelangi 16-16-16,pelangi161616,100.00%,Pelangi 16-16-16,pelangi161616,PIHC,Majemuk,16-16-16,13,
mutiara 16 .16.16,mutiara161616,100.00%,Mutiara 16-16-16,mutiara161616,Mutiara,Majemuk,16-16-16,13,
NPK pim 15 15 15,npkpim151515,100.00%,NPK PIM 15-15-15,npkpim151515,PIHC,Majemuk,15-15-15,12,
nitro phoska 151515,nitrophoska151515,100.00%,NITROPHOSKA 15-15-15,nitrophoska151515,BASF,Majemuk,15-15-15,17,
npk pim 151515,npkpim151515,100.00%,NPK PIM 15-15-15,npkpim151515,PIHC,Majemuk,15-15-15,12,
NPK KEBOMAS 15 15 15,npkkebomas151515,100.00%,NPK Kebomas 15-15-15,npkkebomas151515,PIHC,Majemuk,15-15-15,16,
"Mutiara 16,16,16",mutiara161616,100.00%,Mutiara 16-16-16,mutiara161616,Mutiara,Majemuk,16-16-16,13,
nitrophoska 15 15 15,nitrophoska151515,100.00%,NITROPHOSKA 15-15-15,nitrophoska151515,BASF,Majemuk,15-15-15,17,
NPK PIM 15-15-15,npkpim151515,100.00%,NPK PIM 15-15-15,npkpim151515,PIHC,Majemuk,15-15-15,12,
DGW 161616+TE,dgw161616te,100.00%,DGW 16-16-16+TE,dgw161616te,DGW/Hextar,Majemuk,16-16-16,11,
Petro Bio Fertil,petrobiofertil,100.00%,Petro BioFertil,petrobiofertil,PIHC,Organik,NA,14,
sp_26 petro,sp26petro,100.00%,SP-26 Petro,sp26petro,PIHC,Fosfat,NA,9,
SP-26 Petro,sp26petro,100.00%,SP-26 Petro,sp26petro,PIHC,Fosfat,NA,9,
Mutiara Grower 18-09-20+TE,mutiaragrower180920te,96.15%,Mutiara GROWER 15-09-20+TE,mutiaragrower150920te,Mutiara,Majemuk,15-9-20,21,
kapur pertanian Kebomae,kapurpertaniankebomae,95.65%,Kapur Pertanian Kebomas,kapurpertaniankebomas,PIHC,Mikro,NA,21,
NPK Pelangi 136274+B,npkpelangi136274b,95.24%,NPK Pelangi 13-6-27-4,npkpelangi136274,PIHC,Majemuk,13-6-27,17,
NPK PELANGI 13.6.27,npkpelangi13627,95.24%,NPK Pelangi 13-6-27-4,npkpelangi136274,PIHC,Majemuk,13-6-27,15,
Ptro nitrat 16-16-16,ptronitrat161616,95.24%,Petro Nitrat 16-16-16,petronitrat161616,PIHC,Majemuk,16-16-16,16,
NPK Pelangi 13 6 27,npkpelangi13627,95.24%,NPK Pelangi 13-6-27-4,npkpelangi136274,PIHC,Majemuk,13-6-27,15,
NPK Pelangi 13-6-27,npkpelangi13627,95.24%,NPK Pelangi 13-6-27-4,npkpelangi136274,PIHC,Majemuk,13-6-27,15,
NPK Pelangi 13-6-27-2,npkpelangi136272,95.24%,NPK Pelangi 13-6-27-4,npkpelangi136274,PIHC,Majemuk,13-6-27,16,
NPK pelang 13.6.27.4,npkpelang136274,95.24%,NPK Pelangi 13-6-27-4,npkpelangi136274,PIHC,Majemuk,13-6-27,15,
Nitrophonska 15-15-15,nitrophonska151515,95.00%,NITROPHOSKA 15-15-15,nitrophoska151515,BASF,Majemuk,15-15-15,18,
Nitroposka 15-15-15,nitroposka151515,95.00%,NITROPHOSKA 15-15-15,nitrophoska151515,BASF,Majemuk,15-15-15,16,
saprodap162012,saprodap162012,94.74%,Saprodap  16-20+12S,saprodap162012s,Pak Tani,Majemuk,16-20-0,14,
Magnesium sulfat,magnesiumsulfat,94.12%,Magnesium Sulfate,magnesiumsulfate,Pak Tani,Mg,NA,15,
magnesium sulfat,magnesiumsulfat,94.12%,Magnesium Sulfate,magnesiumsulfate,Pak Tani,Mg,NA,15,
npk kujang 368,npkkujang368,94.12%,NPK Kujang 30-6-8,npkkujang3068,PIHC,Majemuk,30-6-8,12,
mtiara 161616,mtiara161616,93.75%,Mutiara 16-16-16,mutiara161616,Mutiara,Majemuk,16-16-16,12,
mutiara 116-16-16,mutiara1161616,93.75%,Mutiara 16-16-16,mutiara161616,Mutiara,Majemuk,16-16-16,14,
mitroku 16 16 16,mitroku161616,93.75%,Nitroku 16-16-16,nitroku161616,PIHC,Majemuk,16-16-16,13,
Utiara 16 16 16,utiara161616,93.75%,Mutiara 16-16-16,mutiara161616,Mutiara,Majemuk,16-16-16,12,
Mutiara 16.16.16 @1,mutiara1616161,93.75%,Mutiara 16-16-16,mutiara161616,Mutiara,Majemuk,16-16-16,14,
Pelangi 20-10-10,pelangi201010,93.75%,Pelangi 20-10-18,pelangi201018,PIHC,Majemuk,20-10-18,13,
Pelangi 20 10 10,pelangi201010,93.75%,Pelangi 20-10-18,pelangi201018,PIHC,Majemuk,20-10-18,13,
MUTIARA 16-16-16 @1,mutiara1616161,93.75%,Mutiara 16-16-16,mutiara161616,Mutiara,Majemuk,16-16-16,14,
NPK PIM 1515115,npkpim1515115,93.75%,NPK PIM 15-15-15,npkpim151515,PIHC,Majemuk,15-15-15,13,
DGW 16.16.16+TE @1,dgw161616te1,93.33%,DGW 16-16-16+TE,dgw161616te,DGW/Hextar,Majemuk,16-16-16,12,
UTEA DAUN BUAH,uteadaunbuah,92.86%,Urea Daun Buah,ureadaunbuah,PIHC,Urea,NA,12,
BORAT EVERMAX,boratevermax,92.86%,Borate Evermax,borateevermax,LaoYing,Mikro,NA,12,
Ure Daun Buah,uredaunbuah,92.86%,Urea Daun Buah,ureadaunbuah,PIHC,Urea,NA,11,
"NPK PUSRI 13-6-27-4+0,65B",npkpusri136274065b,92.59%,NPK Pusri 13-6-27-4Mg+0.65B,npkpusri136274mg065b,PIHC,Majemuk,13-6-27,18,
NPK Pusri 13-6-27-4+0.65B,npkpusri136274065b,92.59%,NPK Pusri 13-6-27-4Mg+0.65B,npkpusri136274mg065b,PIHC,Majemuk,13-6-27,18,
urea nitria,ureanitria,90.91%,Urea Nitrea,ureanitrea,PIHC,Urea,NA,10,
urea nutrea,ureanutrea,90.91%,Urea Nitrea,ureanitrea,PIHC,Urea,NA,10,
Urea netrea,ureanetrea,90.91%,Urea Nitrea,ureanitrea,PIHC,Urea,NA,10,
petro nitrat 1616,petronitrat1616,90.48%,Petro Nitrat 16-16-16,petronitrat161616,PIHC,Majemuk,16-16-16,15,
NPK Pelangi 13.6.27.4 @50,npkpelangi13627450,90.48%,NPK Pelangi 13-6-27-4,npkpelangi136274,PIHC,Majemuk,13-6-27,18,
MAHKOTA 12 12 17 2,mahkota1212172,90.48%,Mahkota 12-12-17-2+TE,mahkota1212172te,Mahkota,Majemuk,12-12-17,14,
UREO PETRO,ureopetro,90.00%,Urea Petro,ureapetro,PIHC,Urea,NA,9,
urea ptro,ureaptro,90.00%,Urea Petro,ureapetro,PIHC,Urea,NA,8,
ureq petro,ureqpetro,90.00%,Urea Petro,ureapetro,PIHC,Urea,NA,9,
Ferthiphos,ferthiphos,90.00%,Fertiphos,fertiphos,Pak Tani,Fosfat,NA,10,
Ferthiphos,ferthiphos,90.00%,Fertiphos,fertiphos,Pak Tani,Fosfat,NA,10,
urea Petro 5,ureapetro5,90.00%,Urea Petro,ureapetro,PIHC,Urea,NA,10,
fertiphose,fertiphose,90.00%,Fertiphos,fertiphos,Pak Tani,Fosfat,NA,10,
NPK KEBOMAS 15 15 6 4,npkkebomas151564,90.00%,NPK Kebomas 15-15-15,npkkebomas151515,PIHC,Majemuk,15-15-15,16,
NPK Kebomas 15-15-15+TE,npkkebomas151515te,90.00%,NPK Kebomas 15-15-15,npkkebomas151515,PIHC,Majemuk,15-15-15,18,
phonsgreen,phonsgreen,90.00%,Phosgreen,phosgreen,PIHC,Fosfat,NA,10,
NPK KEBOMAS 15-15-6+4,npkkebomas151564,90.00%,NPK Kebomas 15-15-15,npkkebomas151515,PIHC,Majemuk,15-15-15,16,
phossgreen,phossgreen,90.00%,Phosgreen,phosgreen,PIHC,Fosfat,NA,10,
NPK Kebomas 15 - 15 - 6 - 4,npkkebomas151564,90.00%,NPK Kebomas 15-15-15,npkkebomas151515,PIHC,Majemuk,15-15-15,16,
MAHKOTA 12-6-22-3,mahkota126223,90.00%,Mahkota 12-6-22-3+TE,mahkota126223te,Mahkota,Majemuk,12-6-22,13,
Magnesium Sulfate SU,magnesiumsulfatesu,88.89%,Magnesium Sulfate,magnesiumsulfate,Pak Tani,Mg,NA,18,
petrocass,petrocass,88.89%,Petro-CAS,petrocas,PIHC,Mikro,NA,9,
Petrocase,petrocase,88.89%,Petro-CAS,petrocas,PIHC,Mikro,NA,9,
netralite,netralite,88.89%,Nitralite,nitralite,PIHC,Nitrogen,NA,9,
Petrocash,petrocash,88.89%,Petro-CAS,petrocas,PIHC,Mikro,NA,9,
petroces,petroces,88.89%,Petro-CAS,petrocas,PIHC,Mikro,NA,8,
fertiphoz,fertiphoz,88.89%,Fertiphos,fertiphos,Pak Tani,Fosfat,NA,9,
Fertipos,fertipos,88.89%,Fertiphos,fertiphos,Pak Tani,Fosfat,NA,8,
PHOSGREN.,phosgren,88.89%,Phosgreen,phosgreen,PIHC,Fosfat,NA,8,
meroke map,merokemap,88.89%,MerokeMOP,merokemop,Mutiara,Kalium,NA,9,
fertipos,fertipos,88.89%,Fertiphos,fertiphos,Pak Tani,Fosfat,NA,8,
petrocast,petrocast,88.89%,Petro-CAS,petrocas,PIHC,Mikro,NA,9,
Ferriphos,ferriphos,88.89%,Fertiphos,fertiphos,Pak Tani,Fosfat,NA,9,
maroke mop,marokemop,88.89%,MerokeMOP,merokemop,Mutiara,Kalium,NA,9,
Meroke SOP,merokesop,88.89%,MerokeMOP,merokemop,Mutiara,Kalium,NA,9,
NETRALITE,netralite,88.89%,Nitralite,nitralite,PIHC,Nitrogen,NA,9,
meroke mkp,merokemkp,88.89%,MerokeMOP,merokemop,Mutiara,Kalium,NA,9,
Pertiphos,pertiphos,88.89%,Fertiphos,fertiphos,Pak Tani,Fosfat,NA,9,
Petro cass,petrocass,88.89%,Petro-CAS,petrocas,PIHC,Mikro,NA,9,
"NPK Pusri 13.6.27.0,65 B",npkpusri13627065b,88.89%,NPK Pusri 13-6-27-4Mg+0.65B,npkpusri136274mg065b,PIHC,Majemuk,13-6-27,17,
nitralit,nitralit,88.89%,Nitralite,nitralite,PIHC,Nitrogen,NA,8,
pertiphos,pertiphos,88.89%,Fertiphos,fertiphos,Pak Tani,Fosfat,NA,9,
"NPK Pusri 13.6.27.0,65B",npkpusri13627065b,88.89%,NPK Pusri 13-6-27-4Mg+0.65B,npkpusri136274mg065b,PIHC,Majemuk,13-6-27,17,
fetiphos,fetiphos,88.89%,Fertiphos,fertiphos,Pak Tani,Fosfat,NA,8,
Phorgreen,phorgreen,88.89%,Phosgreen,phosgreen,PIHC,Fosfat,NA,9,
MerokeMKP,merokemkp,88.89%,MerokeMOP,merokemop,Mutiara,Kalium,NA,9,
Mutiara Grower 15-9-20,mutiaragrower15920,88.46%,Mutiara GROWER 15-09-20+TE,mutiaragrower150920te,Mutiara,Majemuk,15-9-20,18,
petro ningrat 12 11 20,petroningrat121120,88.46%,NPK Petro Ningrat 12-11-20,npkpetroningrat121120,PIHC,Majemuk,12-11-20,18,
mutiara grower 15 9 20,mutiaragrower15920,88.46%,Mutiara GROWER 15-09-20+TE,mutiaragrower150920te,Mutiara,Majemuk,15-9-20,18,
NPK Mutiara Grower 15-09-20+TE,npkmutiaragrower150920te,88.46%,Mutiara GROWER 15-09-20+TE,mutiaragrower150920te,Mutiara,Majemuk,15-9-20,24,
NPK Mutiara Grower 15.09.20+TE,npkmutiaragrower150920te,88.46%,Mutiara GROWER 15-09-20+TE,mutiaragrower150920te,Mutiara,Majemuk,15-9-20,24,
NPK kujang 30,npkkujang30,88.24%,NPK Kujang 30-6-8,npkkujang3068,PIHC,Majemuk,30-6-8,11,
magnesiu sulfat,magnesiusulfat,88.24%,Magnesium Sulfate,magnesiumsulfate,Pak Tani,Mg,NA,14,
NPK Kujang 300608,npkkujang300608,88.24%,NPK Kujang 30-6-8,npkkujang3068,PIHC,Majemuk,30-6-8,15,
NPK kujang 30.6.8@ kg,npkkujang3068kg,88.24%,NPK Kujang 30-6-8,npkkujang3068,PIHC,Majemuk,30-6-8,15,
Mutiara 16-16,mutiara1616,87.50%,Mutiara 16-16-16,mutiara161616,Mutiara,Majemuk,16-16-16,11,
urea pin,ureapin,87.50%,Urea PIM,ureapim,PIHC,Urea,NA,7,
mestila,mestila,87.50%,Mesti-ZA,mestiza,LaoYing,ZA,NA,7,
mutiara 16.16,mutiara1616,87.50%,Mutiara 16-16-16,mutiara161616,Mutiara,Majemuk,16-16-16,11,
Mutiara 16 16,mutiara1616,87.50%,Mutiara 16-16-16,mutiara161616,Mutiara,Majemuk,16-16-16,11,
ZA Prtro,zaprtro,87.50%,ZA Petro,zapetro,PIHC,ZA,NA,7,
